miRNA Name	Gene Symbol
hsa-miR-940	LINGO1
hsa-miR-940	MORC4
hsa-miR-940	VTI1A
hsa-miR-940	DPYSL5
hsa-miR-940	CHST1
hsa-miR-940	TLK2
hsa-miR-940	DNM1
hsa-miR-940	CASP2
hsa-miR-940	FLNC
hsa-miR-940	FOXO4
hsa-miR-940	SGK223
hsa-miR-940	C2orf71
hsa-miR-940	GALNT10
hsa-miR-940	HEATR1
hsa-miR-940	ARF5
hsa-miR-940	SLC9A1
hsa-miR-940	SMIM12
hsa-miR-940	INADL
hsa-miR-940	FAM155B
hsa-miR-940	OPTC
hsa-miR-940	THSD4
hsa-miR-940	SH3PXD2B
hsa-miR-940	LIX1L
hsa-miR-940	MPRIP
hsa-miR-940	DHRS11
hsa-miR-940	ZC4H2
hsa-miR-940	LYNX1
hsa-miR-940	NOS1AP
hsa-miR-940	QTRTD1
hsa-miR-940	PHKA1
hsa-miR-940	CRELD1
hsa-miR-940	MAP2K6
hsa-miR-940	SIRPG
hsa-miR-940	PRND
hsa-miR-940	TRAK1
hsa-miR-940	PDPK1
hsa-miR-940	HDGFRP3
hsa-miR-940	FGFR4
hsa-miR-940	KCTD12
hsa-miR-940	GEMIN5
hsa-miR-940	RQCD1
hsa-miR-940	ABHD14B
hsa-miR-940	THBS1
hsa-miR-940	CAP1
hsa-miR-940	TSPAN9
hsa-miR-940	ELF4
hsa-miR-940	BCL7B
hsa-miR-940	COPS7B
hsa-miR-940	GNA12
hsa-miR-940	SMEK1
hsa-miR-940	RARA
hsa-miR-940	PITPNM3
hsa-miR-940	CNOT2
hsa-miR-940	TUB
hsa-miR-940	LOC101930255
hsa-miR-940	GGA2
hsa-miR-940	C19orf12
hsa-miR-940	TRAM2
hsa-miR-940	CNTN2
hsa-miR-940	WBP1L
hsa-miR-940	IMPDH1
hsa-miR-940	VPS33A
hsa-miR-940	MTFMT
hsa-miR-940	EIF4G3
hsa-miR-940	KCNA1
hsa-miR-940	DFFA
hsa-miR-940	CSF1
hsa-miR-940	KBTBD11
hsa-miR-940	IL16
hsa-miR-940	IQSEC2
hsa-miR-940	OCLN
hsa-miR-940	COL22A1
hsa-miR-940	PFAS
hsa-miR-940	HAPLN1
hsa-miR-940	SPOCK2
