V1,V2
SMAD1,ZBTB44
SMAD1,CCNE1
SMAD1,GMEB1
SMAD1,NEUROG1
SMAD1,BTG2
SMAD1,NOTCH2
SMAD1,DVL1
SMAD1,SOX5
SMAD1,RAB34
SMAD1,TTF2
SMAD1,SMG6
SMAD1,PARD3B
SMAD1,ZNF423
SMAD1,SNX6
SMAD1,RASD2
SMAD1,SEC24B
SMAD1,RAB2B
SMAD1,RAB38
SMAD1,RFX1
SMAD1,RHEBL1
SMAD1,SMAD6
SMAD1,CAMSAP1
SMAD1,FBXL12
SMAD1,HOXD13
SMAD1,HOXC8
SMAD1,PUM1
SMAD1,MGA
SMAD1,RAB30
SMAD1,ZNF8
SMAD1,FBXO30
SMAD1,SPATA2L
SMAD1,HIPK2
SMAD1,ZNF76
SMAD1,TCF20
SMAD1,BTBD2
SMAD1,ZEB2
SMAD1,ZSCAN4
SMAD1,APOOL
SMAD1,FOXG1
SMAD1,CHRD
SMAD1,ECSIT
SMAD1,FHL5
SMURF1,INPP5B
SMURF1,UBE2E3
SMURF1,SMAD2
SMURF1,UBE2D2
SMURF1,UBE2D3
SMURF1,UBE2E1
SMURF1,UBE2E2
SMURF1,LIMS1
SMURF1,SMAD4
SMURF1,SMAD3
SMURF1,TTLL9
SMURF1,RAPSN
SMURF1,CDKL1
SMURF1,SMAD7
SMURF1,CXXC1
SMURF1,BMP2
SMURF1,RLIM
SMURF1,RUNX2
SMURF1,LONRF3
SMURF1,CUL5
SMURF1,ARL4D
SMURF1,SMAD5
SMURF1,RNF14
SMURF1,UBE2D1
SMURF1,TGFBR2
SMURF1,RASD2
SMURF1,WDR61
SMURF1,PPP2R2D
SMURF1,RNF11
SMURF1,RIT1
SMURF1,SMAD6
SMURF1,RUNX3
SMURF1,TRIM35
SMURF1,APBB2
SMURF1,CDK14
SMURF1,FBXO30
SMURF1,ACVR1C
SMURF1,USP45
SMURF1,STK35
SMURF1,DNAJC7
SMURF1,TTC17
SMURF1,hsa-miR-429
SMURF1,CHRD
SMURF1,ECSIT
SMURF2,UBE2E3
SMURF2,SMAD2
SMURF2,IRF8
SMURF2,FKBP4
SMURF2,UBE2D2
SMURF2,UBE2D3
SMURF2,UBE2E1
SMURF2,UBE2E2
SMURF2,SMAD3
SMURF2,TTLL9
SMURF2,SMAD7
SMURF2,RNF2
SMURF2,SKIL
SMURF2,SMAD5
SMURF2,RNF14
SMURF2,UBE2D1
SMURF2,NKIRAS1
SMURF2,NRAS
SMURF2,RASD2
SMURF2,RHOD
SMURF2,RNF11
SMURF2,RAB13
SMURF2,RAB22A
SMURF2,RNF111
SMURF2,SMAD6
SMURF2,ACBD3
SMURF2,RUNX3
SMURF2,TXNIP
SMURF2,ACVR1C
SMURF2,STAMBP
SMURF2,TRAF4
SMURF2,hsa-miR-1290
SMURF2,FAM175B
TBL1XR1,RBBP4
TBL1XR1,PARP12
TBL1XR1,SPTLC2
TBL1XR1,RMND5A
TBL1XR1,BCL6
TBL1XR1,HDAC4
TBL1XR1,MAPK8IP3
TBL1XR1,TFDP1
TBL1XR1,TFDP2
TBL1XR1,ENSG00000188223
TBL1XR1,E2F4
TBL1XR1,LIN54
TBL1XR1,ARHGAP35
TBL1XR1,LSM1
TBL1XR1,ATF7
TBL1XR1,SAE1
TBL1XR1,KDM2A
TBL1XR1,ARNT2
TBL1XR1,CSMD1
TBL1XR1,DNAH9
TBL1XR1,HDAC9
TBL1XR1,HELZ2
TBL1XR1,DROSHA
TBL1XR1,EHMT1
TBL1XR1,EIF2AK3
TBL1XR1,ELF1
TBL1XR1,ERCC5
TBL1XR1,HDAC5
TBL1XR1,HSF4
TBL1XR1,IDI2
TBL1XR1,KIF13B
TBL1XR1,LPAR4
TBL1XR1,MTMR6
TBL1XR1,NCOR2
TBL1XR1,NKRF
TBL1XR1,HNF1A
TBL1XR1,SPEN
TBL1XR1,TNFRSF8
TBL1XR1,TRAF3IP3
TBL1XR1,OSR1
TBL1XR1,PCDH9
TBL1XR1,POU2F3
TBL1XR1,UTP6
TBL1XR1,WDR35
TBL1XR1,YY1
TBL1XR1,ZMYND8
TBL1XR1,NCOR1
TBL1XR1,APC
TBL1XR1,KMT2B
TBL1XR1,ARID1A
TBL1XR1,OSBPL1A
TBL1XR1,SMO
TBL1XR1,PANX3
TBL1XR1,SENP7
TBL1XR1,WNK4
TBL1XR1,RBL2
TBL1XR1,LIN52
TBL1XR1,HDAC3
TBL1XR1,CSTB
TBL1XR1,GOLGA4
TBL1XR1,MYBL1
TBL1XR1,MYBL2
TBL1XR1,HSBP1P2
TBL1XR1,SLC4A2
TBL1XR1,PARK7
TBL1XR1,PDAP1
TBL1XR1,LIN9
TBL1XR1,PPAP2B
TBL1XR1,LPAR2
TBL1XR1,CACNA1A
TBL1XR1,WNT16
TBL1XR1,E2F3
TBL1XR1,E2F5
TBL1XR1,GPS2
TBL1XR1,CORO2A
TBL1XR1,TRIB3
TBL1XR1,PPARGC1A
TBL1XR1,EBF1
TBL1XR1,EPHB6
TBL1XR1,BCL11A
TBL1XR1,ZNF443
TBL1XR1,TBL1X
TBL1XR1,APC2
TBL1XR1,hsa-miR-429
TBL1XR1,hsa-miR-3183
EGLN1,OS9
EGLN1,HIF1A
EGLN1,UBE2C
EGLN1,DEAF1
EGLN1,hsa-miR-429
TP53,ING5
TP53,KAT8
TP53,SMAD2
TP53,CREBBP
TP53,CITED1
TP53,PIAS4
TP53,RAD51
TP53,TFDP1
TP53,CCNA2
TP53,LAMA4
TP53,MTA1
TP53,TSG101
TP53,JMY
TP53,MDM2
TP53,THRB
TP53,ATF3
TP53,BRCA1
TP53,TTLL9
TP53,RFWD2
TP53,BARD1
TP53,ARIH2
TP53,CCDC106
TP53,DLEU1
TP53,E2F1
TP53,MAD2L1BP
TP53,COX17
TP53,SAT1
TP53,SAE1
TP53,UBE2I
TP53,ENSG00000206088
TP53,YY1
TP53,ENSG00000215693
TP53,SIAH1
TP53,S100A8
TP53,SP1
TP53,KLF4
TP53,CEBPB
TP53,KLF6
TP53,KMT2A
TP53,CDKN2A
TP53,CHD3
TP53,PML
TP53,MDM4
TP53,BLM
TP53,TMSB4X
TP53,RB1
TP53,COPS6
TP53,PAFAH1B3
TP53,PCDHA4
TP53,SERPINB9
TP53,SULT1E1
TP53,TK1
TP53,MTA2
TP53,HTT
TP53,PLK3
TP53,ENSG00000206279
TP53,DAXX
TP53,PIAS1
TP53,HNF4A
TP53,MNDA
TP53,MPHOSPH6
TP53,ZHX1
TP53,ERH
TP53,MSX1
TP53,HIF1A
TP53,ENSG00000206206
TP53,NFYB
TP53,NAE1
TP53,FBXO11
TP53,NR4A1
TP53,GPS2
TP53,NDN
TP53,WRN
TP53,NEDD8
TP53,ESR1
TP53,NFYA
TP53,COPS8
TP53,DVL2
TP53,NR3C1
TP53,HMGB2
TP53,UBE3A
TP53,WT1
TP53,PBK
TP53,TOPORS
TP53,PLAGL1
TP53,CUL9
TP53,ANKRD2
TP53,SUMO1
TP53,ZNF148
TP53,PTTG1
TP53,GPS1
TP53,RCHY1
TP53,ANXA3
TP53,PPP1R13L
TP53,EZH2
TP53,BRCA2
TP53,KIAA0087
TP53,S100A2
TP53,TP53TG1
TP53,SP3
TP53,HIPK2
TP53,ENSG00000205570
TP53,ENSG00000205575
TP53,TFAP2C
TP53,BTBD2
TP53,THAP8
TP53,CCL18
TP53,FXYD6
TP53,TP63
TP53,TP73
TP53,CCNG1
TP53,BHLHE40
TP53,ARID3A
TP53,ARL3
TP53,CDKN2C
TP53,COPS7A
TP53,IFI16
RBBP4,OGT
RBBP4,ASH2L
RBBP4,CREBBP
RBBP4,HDAC4
RBBP4,ISCU
RBBP4,TFDP1
RBBP4,TFDP2
RBBP4,ENSG00000188223
RBBP4,CCNA2
RBBP4,E2F4
RBBP4,LIN54
RBBP4,MTA1
RBBP4,LSM1
RBBP4,BRCA1
RBBP4,KDM1A
RBBP4,NCOR2
RBBP4,SPEN
RBBP4,NCOR1
RBBP4,SP1
RBBP4,BRMS1
RBBP4,CHD3
RBBP4,RBL2
RBBP4,TSNAX
RBBP4,AEBP2
RBBP4,LIN52
RBBP4,HDAC3
RBBP4,CSTB
RBBP4,GOLGA4
RBBP4,MYBL1
RBBP4,MYBL2
RBBP4,MYLPF
RBBP4,HSBP1P2
RBBP4,SLC4A2
RBBP4,PARK7
RBBP4,PDAP1
RBBP4,RBL1
RBBP4,LIN9
RBBP4,RB1
RBBP4,RBP1
RBBP4,MTA2
RBBP4,ZMYM2
RBBP4,MBD2
RBBP4,MBD3
RBBP4,MBD3L1
RBBP4,SUV39H1
RBBP4,E2F5
RBBP4,MTA3
RBBP4,MTF2
RBBP4,SIN3B
RBBP4,NR2E3
RBBP4,DHX30
RBBP4,SUDS3
RBBP4,CCNE2
RBBP4,SETD1A
RBBP4,RCOR1
RBBP4,EZH2
RBBP4,SP3
RBBP4,SUZ12
ING5,APLP1
ING5,GCSH
ING5,KIAA1377
ING5,NAV2
ING5,ENSG00000212678
ING5,BARD1
ING5,HAP1
ING5,PCM1
ING5,GOLGA2
APLP1,HSPE1
APLP1,LRIF1
APLP1,SAT1
APLP1,SETDB1
APLP1,ENSG00000215693
APLP1,GDF9
APLP1,TMSB4X
APLP1,CRCT1
APLP1,PCDHA4
APLP1,ENSG00000206239
APLP1,TK1
APLP1,RBM48
APLP1,MPHOSPH6
APLP1,PHF10
APLP1,TOM1
APLP1,TCF21
APLP1,CDKN2C
APLP1,ENSG00000206305
GCSH,ENSG00000215693
GCSH,ZBTB16
GCSH,NMI
KIAA1377,FXR1
KIAA1377,ITGB3BP
KIAA1377,OFD1
KIAA1377,GIT1
KIAA1377,DISC1
KIAA1377,BARD1
KIAA1377,ARIH2
KIAA1377,DLEU1
KIAA1377,HAP1
KIAA1377,GADD45G
KIAA1377,NAP1L5
KIAA1377,LRIF1
KIAA1377,MAD2L1BP
KIAA1377,PTPRS
KIAA1377,KAT7
KIAA1377,SAT1
KIAA1377,HMOX2
KIAA1377,ENSG00000215693
KIAA1377,KBTBD7
KIAA1377,PMF1
KIAA1377,RBM23
KIAA1377,EPN1
KIAA1377,SPDL1
KIAA1377,ENSG00000106540
KIAA1377,STAU2
KIAA1377,KIF15
KIAA1377,KLHL20
KIAA1377,LAMTOR5
KIAA1377,BRD7
KIAA1377,FEZ1
KIAA1377,CRCT1
KIAA1377,PFDN1
KIAA1377,ENSG00000214955
KIAA1377,NAT9
KIAA1377,HTT
KIAA1377,CDKN2B
KIAA1377,ATRX
KIAA1377,ODF2L
KIAA1377,PBK
KIAA1377,TXNDC9
KIAA1377,TOMM20
KIAA1377,ENSG00000215766
KIAA1377,ROGDI
KIAA1377,AKTIP
KIAA1377,IMMT
KIAA1377,GOLGB1
KIAA1377,BMI1
KIAA1377,BRD1
NAV2,ENSG00000215693
NAV2,PIAS2
ENSG00000212678,GIT1
ENSG00000212678,GADD45G
