PPP1CC 	hsa-miR-20a-5p
PPP1CC 	hsa-miR-27b-3p
PPP1CC 	hsa-miR-340-5p
APOF 	hsa-miR-27b-3p
REEP3 	hsa-miR-20a-5p
SGPL1 	hsa-miR-20a-5p
ZEB1 	hsa-miR-200c-3p
KLF5 	hsa-miR-141-3p
SEPT7 	hsa-miR-200c-3p
KLF11 	hsa-miR-141-3p
SEPT7 	hsa-miR-141-3p
ELMO2 	hsa-miR-200c-3p
KLF11 	hsa-miR-200c-3p
RASSF2 	hsa-miR-141-3p
RASSF2 	hsa-miR-200c-3p
ZEB1 	hsa-miR-141-3p
APP 	hsa-miR-20a-5p
NOTCH2 	hsa-miR-181c-5p
UBE2I 	hsa-miR-200c-3p
MMP13 	hsa-miR-27b-3p
KRAS 	hsa-miR-181c-5p
KLF10 	hsa-miR-96-5p
KLF10 	hsa-miR-340-5p
RPLP1 	hsa-miR-423-3p
NAPG 	hsa-miR-15b-5p
ATP5B 	hsa-miR-15b-5p
NCL 	hsa-miR-20a-5p
GIGYF1 	hsa-miR-20a-5p
ASGR1 	hsa-miR-15b-5p
EIF3K 	hsa-miR-15b-5p
IER5 	hsa-miR-615-3p
CAPRIN1 	hsa-miR-769-5p
KIAA2026 	hsa-miR-181c-5p
HIST1H2BD 	hsa-miR-20a-5p
HIST1H2BD 	hsa-miR-96-5p
HIST1H2BD 	hsa-miR-15b-5p
TAOK1 	hsa-miR-20a-5p
TAOK1 	hsa-miR-27b-3p
APP 	hsa-miR-15b-5p
APP 	hsa-miR-340-5p
ATOX1 	hsa-miR-15b-5p
DEK 	hsa-miR-340-5p
WDR26 	hsa-miR-27b-3p
USP6NL 	hsa-miR-181c-5p
TCP1 	hsa-miR-96-5p
FBL 	hsa-miR-615-3p
MCM7 	hsa-miR-15b-5p
MCM7 	hsa-miR-27b-3p
TFAP2A 	hsa-miR-15b-5p
ATP6V1G1 	hsa-miR-20a-5p
KIF23 	hsa-miR-20a-5p
KRAS 	hsa-miR-340-5p
VLDLR 	hsa-miR-20a-5p
VLDLR 	hsa-miR-96-5p
HOXB3 	hsa-miR-20a-5p
HSDL1 	hsa-miR-340-5p
COPS2 	hsa-miR-20a-5p
COPS2 	hsa-miR-181c-5p
PSAP 	hsa-miR-27b-3p
FOXC1 	hsa-miR-20a-5p
NARS 	hsa-miR-20a-5p
